krz,ort
GNT,Landkreis Genthin
GÖ,kreisfreie Stadt Göttingen und Landkreis Göttingen
GOA,Landkreis Sankt Goar
GOH,Landkreis Sankt Goarshausen
GP,Landkreis Göppingen
GR,kreisfreie Stadt Görlitz und Landkreis Görlitz
GRA,Landkreis Grafenau
GRH,Landkreis Großenhain
GRI,Landkreis Griesbach i.Rottal
GRM,Landkreis Grimma
GRS,Landkreis Gransee
GRZ,Landkreis Greiz
GS,kreisfreie Stadt Goslar und Landkreis Goslar
GT,Kreis Gütersloh
GTH,Landkreis Gotha
GÜ,Landkreis Güstrow
GUB,Landkreis Guben
GUN,Landkreis Gunzenhausen
GV,Landkreis Grevenbroich
GVM,Landkreis Grevesmühlen
GW,Landkreis Greifswald
GZ,kreisfreie Stadt Günzburg und Landkreis Günzburg
H,kreisfreie Stadt Hannover und Landkreis Hannover
HA,kreisfreie Stadt Hagen
HAB,Landkreis Hammelburg
HAL,kreisfreie Stadt Halle (Saale)
HAM,kreisfreie Stadt Hamm
HAS,Landkreis Haßfurt
HB,kreisfreie Stadt Bremen und kreisfreie Stadt Bremerhaven
HBN,Landkreis Hildburghausen
HBS,Landkreis Halberstadt
HC,Landkreis Hainichen
HCH,Landkreis Hechingen
HD,Stadtkreis Heidelberg und Landkreis Heidelberg
HDH,Landkreis Heidenheim
HDL,Landkreis Haldensleben
HE,Landkreis Helmstedt
HEB,Landkreis Hersbruck
HEF,Landkreis Hersfeld
HEI,Kreis Norderdithmarschen
HER,kreisfreie Stadt Herne
HET,Landkreis Hettstedt
HF,kreisfreie Stadt Herford und Landkreis Herford
HG,Obertaunuskreis
HGN,Landkreis Hagenow
HGW,Hansestadt Greifswald
HH,Hansestadt Hamburg
HHM,Landkreis Hohenmölsen
HI,kreisfreie Stadt Hildesheim und Landkreis Hildesheim-Marienburg
HIG,Landkreis Heiligenstadt
HIP,Landkreis Hilpoltstein
HK,Landkreis Heidekreis
HL,Hansestadt Lübeck
HM,kreisfreie Stadt Hameln und Landkreis Hameln-Pyrmont
HMÜ,Landkreis Münden
HN,Stadtkreis Heilbronn und Landkreis Heilbronn
HO,kreisfreie Stadt Hof und Landkreis Hof
HOG,Landkreis Hofgeismar
HOH,Landkreis Hofheim i.UFr.
HOL,Landkreis Holzminden
HOM,Landkreis Homburg
HOR,Landkreis Horb
HÖS,Landkreis Höchstadt a.d.Aisch
HOT,Landkreis Hohenstein-Ernstthal
HP,Landkreis Bergstraße
HR,Schwalm-Eder-Kreis
HRO,Hansestadt Rostock
HS,Kreis Heinsberg
HSK,Hochsauerlandkreis
HST,Hansestadt Stralsund und Landkreis Stralsund
HU,kreisfreie Stadt Hanau und Landkreis Hanau
HÜN,Landkreis Hünfeld
HUS,Landkreis Husum
HV,Landkreis Havelberg
HVL,Landkreis Havelland
HW,Landkreis Halle (Westfalen)
HWI,Hansestadt Wismar
HX,Landkreis Höxter
HY,Landkreis Hoyerswerda
HZI,Landkreis Herzberg
HZII,Landkreis Harz
IGB,Landkreis St. Ingbert
IK,Ilm-Kreis
IL,Landkreis Ilmenau
ILL,Landkreis Illertissen
IN,kreisfreie Stadt Ingolstadt und Landkreis Ingolstadt
IS,kreisfreie Stadt Iserlohn und Landkreis Iserlohn
IZ,Kreis Steinburg
J,kreisfreie Stadt Jena und Landkreis Jena
JB,Landkreis Jüterbog
JE,Landkreis Jessen
JEV,Landkreis Friesland
JL,Landkreis Jerichower Land
JÜL,Landkreis Jülich
K,kreisfreie Stadt Köln und Landkreis Köln
KA,Stadtkreis Karlsruhe und Landkreis Karlsruhe
KAR,Landkreis Karlstadt
KB,Landkreis Waldeck-Frankenberg
KC,Landkreis Kronach
KE,kreisfreie Stadt Kempten (Allgäu) und Landkreis Kempten (Allgäu)
KEH,Landkreis Kelheim
KEL,Landkreis Kehl
KEM,Landkreis Kemnath
KF,kreisfreie Stadt Kaufbeuren und Landkreis Kaufbeuren
KG,kreisfreie Stadt Bad Kissingen und Landkreis Bad Kissingen
KH,Landkreis Kreuznach
KI,kreisfreie Stadt Kiel
KIB,Landkreis Kirchheimbolanden
KK,Landkreis Kempen-Krefeld
KL,kreisfreie Stadt Kaiserslautern und Landkreis Kaiserslautern
KLE,Landkreis Kleve
KLZ,Landkreis Klötze
KM,Landkreis Kamenz
KN,Landkreis Konstanz
KO,kreisfreie Stadt Koblenz und Landkreis Koblenz
KÖN,Landkreis Königshofen i.Grabfeld
KÖT,Landkreis Köthen
KÖZ,Landkreis Kötzting
KR,kreisfreie Stadt Krefeld
KRU,Landkreis Krumbach (Schwaben)
KS,kreisfreie Stadt Kassel und Landkreis Kassel
KT,kreisfreie Stadt Kitzingen und Landkreis Kitzingen
KU,kreisfreie Stadt Kulmbach und Landkreis Kulmbach
KÜN,Landkreis Künzelsau
KUS,Landkreis Kusel
KW,Landkreis Königs Wusterhausen
KY,Landkreis Kyritz
KYF,Kyffhäuserkreis
LI,kreisfreie Stadt Lahn und Lahn-Dill-Kreis
LII,kreisfreie Stadt Leipzig und Landkreis Leipzig
LA,kreisfreie Stadt Landshut und Landkreis Landshut
LAN,Landkreis Landau a.d.Isar
LAT,Landkreis Lauterbach
LAU,Landkreis Lauf (Pegnitz)
LB,Landkreis Ludwigsburg
LBS,Landkreis Lobenstein
LBZ,Landkreis Lübz
LC,Landkreis Luckau
LD,kreisfreie Stadt Landau in der Pfalz und Landkreis Landau in der Pfalz
LDK,Lahn-Dill-Kreis
LDS,Landkreis Dahme-Spreewald
LE,Landkreis Lemgo
LEO,Landkreis Leonberg
LER,Landkreis Leer
LEV,kreisfreie Stadt Leverkusen
LF,Landkreis Laufen
LG,kreisfreie Stadt Lüneburg und Landkreis Lüneburg
LH,Landkreis Lüdinghausen
LIB,Landkreis Bad Liebenwerda
LIF,Landkreis Lichtenfels
LIN,Landkreis Lingen
LIP,Kreis Lippe
LK,Landkreis Lübbecke
LL,kreisfreie Stadt Landsberg a.Lech und Landkreis Landsberg a.Lech
LM,Landkreis Limburg
LN,Landkreis Lübben
LÖ,Landkreis Lörrach
LÖB,Landkreis Löbau
LOH,Landkreis Lohr a.Main
LOS,Landkreis Oder-Spree
LP,Landkreis Lippstadt
LR,Landkreis Lahr
LRO,Landkreis Rostock
LS,Märkischer Kreis
LSZ,Landkreis Langensalza
LU,kreisfreie Stadt Ludwigshafen am Rhein und Landkreis Ludwigshafen am Rhein
LÜD,kreisfreie Stadt Lüdenscheid
LUK,Landkreis Luckenwalde
LÜN,kreisfreie Stadt Lünen
LUP,Landkreis Ludwigslust-Parchim
LWL,Landkreis Ludwigslust
M,kreisfreie Stadt München und Landkreis München
MA,Stadtkreis Mannheim und Landkreis Mannheim
MAB,Landkreis Marienberg
MAI,Landkreis Mainburg
MAK,kreisfreie Stadt Marktredwitz
MAL,Landkreis Mallersdorf
MAR,Landkreis Marktheidenfeld
MB,Landkreis Miesbach
MC,Landkreis Malchin
MD,kreisfreie Stadt Magdeburg
ME,Kreis Mettmann
MED,Kreis Süderdithmarschen
MEG,Landkreis Melsungen
MEI,Landkreis Meißen
MEK,Mittlerer Erzgebirgskreis
MEL,Landkreis Melle
MEP,Landkreis Meppen
MER,Landkreis Merseburg
MES,Landkreis Meschede
MET,Landkreis Mellrichstadt
MG,kreisfreie Stadt M. Gladbach
MGH,Landkreis Mergentheim
MGN,Landkreis Meiningen
MH,kreisfreie Stadt Mülheim a.d.Ruhr
MHL,Landkreis Mühlhausen
MI,Landkreis Minden
MIL,Landkreis Miltenberg
